"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L126","ProtocMojo.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.7.0/hadoop-maven-plugins/src/main/java/org/apache/hadoop/maven/plugin/protoc/ProtocMojo.java","L125","12","0","0","2","82","108"
"L202","Exec.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.7.0/hadoop-maven-plugins/src/main/java/org/apache/hadoop/maven/plugin/util/Exec.java","L201","7","0","3","0","67","121"
"L203","FileSetUtils.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.7.0/hadoop-maven-plugins/src/main/java/org/apache/hadoop/maven/plugin/util/FileSetUtils.java","L201","2","0","2","0","23","60"
"L327","VersionInfoMojo.java","C:/Users/Sarkar/Desktop/sm/hadoop-release-2.7.0/hadoop-maven-plugins/src/main/java/org/apache/hadoop/maven/plugin/versioninfo/VersionInfoMojo.java","L326","32","0","1","1","230","343"
