"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L125","ProtocMojo.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-maven-plugins/src/main/java/org/apache/hadoop/maven/plugin/protoc/ProtocMojo.java","L124","34","0","1","4","215","272"
"L344","Exec.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-maven-plugins/src/main/java/org/apache/hadoop/maven/plugin/util/Exec.java","L343","14","0","9","1","105","184"
"L345","FileSetUtils.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-maven-plugins/src/main/java/org/apache/hadoop/maven/plugin/util/FileSetUtils.java","L343","2","0","2","0","23","60"
"L472","VersionInfoMojo.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-maven-plugins/src/main/java/org/apache/hadoop/maven/plugin/versioninfo/VersionInfoMojo.java","L471","32","0","1","1","230","343"
