"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L113","Null.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/dev-support/jdiff/Null.java","L112","1","0","1","1","3","21"
"L133","CustomOutputCommitter.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/CustomOutputCommitter.java","L132","1","0","0","8","55","86"
"L228","LocalContainerLauncher.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapred/LocalContainerLauncher.java","L227","45","0","1","6","433","651"
"L229","MapReduceChildJVM.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapred/MapReduceChildJVM.java","L227","11","0","0","3","134","219"
"L230","MapTaskAttemptImpl.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapred/MapTaskAttemptImpl.java","L227","1","0","0","3","39","65"
"L231","ReduceTaskAttemptImpl.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapred/ReduceTaskAttemptImpl.java","L227","1","0","0","3","38","64"
"L232","TaskAttemptListenerImpl.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapred/TaskAttemptListenerImpl.java","L227","17","0","3","17","317","502"
"L233","WrappedJvmID.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapred/WrappedJvmID.java","L227","1","0","1","1","6","31"
"L234","WrappedPeriodicStatsAccumulator.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapred/WrappedPeriodicStatsAccumulator.java","L227","1","0","1","2","10","34"
"L235","WrappedProgressSplitsBlock.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapred/WrappedProgressSplitsBlock.java","L227","5","0","1","6","41","67"
"L236","YarnChild.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapred/YarnChild.java","L227","25","0","0","0","255","358"
"L237","YarnOutputFiles.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapred/YarnOutputFiles.java","L227","2","0","14","3","110","239"
"L28727","JobHistoryCopyService.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/jobhistory/JobHistoryCopyService.java","L28726","5","0","1","3","85","125"
"L28728","JobHistoryEvent.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/jobhistory/JobHistoryEvent.java","L28726","1","0","0","5","22","48"
"L28729","JobHistoryEventHandler.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/jobhistory/JobHistoryEventHandler.java","L28726","167","0","2","6","1229","1445"
"L28730","JobSummary.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/jobhistory/JobSummary.java","L28726","3","0","0","38","184","256"
"L31490","AppContext.java","C:/Users/Jasmine/Desktop/hadoop-rel-release-2.8.3/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/v2/app/AppContext.java","L31489","1","0","1","18","33","77"
